Date,Month,Week,Year,Station.Location,Station.State,Avg.temp,Max.temp,Min.temp,Wind.direction,Wind.speed
3/6/2016,3,6,2016,"Wilmington, DE",Delaware,38,47,28,19,6.91
3/6/2016,3,6,2016,"Daytona Beach, FL",Florida,63,74,51,16,4.7
3/6/2016,3,6,2016,"Alma, GA",Georgia,54,69,40,28,4.08
3/6/2016,3,6,2016,"Hilo, HI",Hawaii,75,85,66,24,3.03
3/6/2016,3,6,2016,"Boise, ID",Idaho,51,63,40,11,6.28
3/6/2016,3,6,2016,"Chicago, IL",Illinois,30,37,23,17,7.21
3/6/2016,3,6,2016,"Evansville, IN",Indiana,40,49,31,24,4.01
3/6/2016,3,6,2016,"Cedar Rapids, IA",Iowa,29,38,19,20,9.01
3/6/2016,3,6,2016,"Concordia, KS",Kansas,47,62,32,24,9.58
3/6/2016,3,6,2016,"Covington, KY",Kentucky,35,42,28,23,5.35
3/6/2016,3,6,2016,"Baton Rouge, LA",Louisiana,63,75,50,15,3.86
3/6/2016,3,6,2016,"Bangor, ME",Maine,23,34,11,25,5.9
3/6/2016,3,6,2016,"Baltimore, MD",Maryland,39,49,28,12,5.08
3/6/2016,3,6,2016,"Boston, MA",Massachusetts,33,40,26,22,6.61
3/6/2016,3,6,2016,"Alpena, MI",Michigan,18,30,5,21,3.93
3/6/2016,3,6,2016,"Duluth, MN",Minnesota,21,30,12,22,5.5
3/6/2016,3,6,2016,"Greenville, MS",Mississippi,54,65,43,15,4.2
3/6/2016,3,6,2016,"Cape Girardeau, MO",Missouri,42,52,31,18,4.85
3/6/2016,3,6,2016,"Billings, MT",Montana,48,61,34,25,10.1
3/6/2016,3,6,2016,"Grand Island, NE",Nebraska,44,59,28,25,7
3/6/2016,3,6,2016,"Ely, NV",Nevada,44,58,29,18,7.91
3/6/2016,3,6,2016,"Concord, NH",New Hampshire,27,38,16,25,5.53
3/6/2016,3,6,2016,"Atlantic City, NJ",New Jersey,36,45,27,28,6.28
3/6/2016,3,6,2016,"Albuquerque, NM",New Mexico,56,71,40,18,4.33
3/6/2016,3,6,2016,"Albany, NY",New York,29,38,19,27,7.08
3/6/2016,3,6,2016,"Asheville, NC",North Carolina,41,52,30,27,6.73
3/6/2016,3,6,2016,"Bismarck, ND",North Dakota,34,48,20,16,6.21
3/6/2016,3,6,2016,"Akron, OH",Ohio,31,38,24,22,5.23
3/6/2016,3,6,2016,"Gage, OK",Oklahoma,54,71,36,23,11.73
3/6/2016,3,6,2016,"Astoria, OR",Oregon,51,57,44,17,9.38
3/6/2016,3,6,2016,"Allentown, PA",Pennsylvania,37,47,26,18,5.86
3/6/2016,3,6,2016,"Providence, RI",Rhode Island,34,41,26,19,6.58
3/6/2016,3,6,2016,"Anderson, SC",South Carolina,48,59,36,14,4.36
3/6/2016,3,6,2016,"Aberdeen, SD",South Dakota,34,45,23,17,6.91
3/6/2016,3,6,2016,"Bristol/Jhnsn Cty/Kngsprt, TN",Tennessee,40,52,26,24,3.75
3/6/2016,3,6,2016,"Abilene, TX",Texas,59,73,45,23,10.75
3/6/2016,3,6,2016,"Salt Lake City, UT",Utah,52,64,39,19,5.63
3/6/2016,3,6,2016,"Burlington, VT",Vermont,21,31,11,25,4.95
3/6/2016,3,6,2016,"Lynchburg, VA",Virginia,40,52,26,22,3.4
3/6/2016,3,6,2016,"Deer Park, WA",Washington,41,52,31,16,3.56
3/6/2016,3,6,2016,"Beckley, WV",West Virginia,36,45,26,24,5.76
